subgroup_id,Foodgroup,n,Mean_Intake,SE_Intake,sigma_u_wgt,diet_label,intake_unit,datatype,diet_pattern,CF_Mean_Intake,CF_SE_Intake,CF_sd_intake,CF_intake_unit,TMRED_Mean_Intake,TMRED_SD_Intake,TMRED_intake_unit,overweight_rate,overweight_rate_se,nhb,nhb_se,sbp_mean,sbp_se,highSBP_rate,highSBP_rate_se,hbp,hbp_se,agecat,female,race,Age_label,Sex,Race_label,AAmn,AFFmn,APCAmn,BCmn,CCmn,CMmn,DIABmn,ECAmn,ENDOmn,GCmn,HHDmn,HSTKmn,IHDmn,ISTKmn,KCmn,LCmn,LVCmn,MLPCmn,MMCmn,OCmn,OSTKmn,OTHmn,PCmn,PVDmn,RHDmn,SCCmn,SCNCmn,TCmn,UCmn,AA_medBMImn,AFF_medBMImn,APCA_medBMImn,BC_medBMImn,CC_medBMImn,CM_medBMImn,DIAB_medBMImn,ECA_medBMImn,ENDO_medBMImn,GC_medBMImn,HHD_medBMImn,HSTK_medBMImn,IHD_medBMImn,ISTK_medBMImn,KC_medBMImn,LC_medBMImn,LVC_medBMImn,MLPC_medBMImn,MMC_medBMImn,OC_medBMImn,OSTK_medBMImn,OTH_medBMImn,PC_medBMImn,PVD_medBMImn,RHD_medBMImn,SCC_medBMImn,SCNC_medBMImn,TC_medBMImn,UC_medBMImn,AA_medSBPmn,AFF_medSBPmn,APCA_medSBPmn,BC_medSBPmn,CC_medSBPmn,CM_medSBPmn,DIAB_medSBPmn,ECA_medSBPmn,ENDO_medSBPmn,GC_medSBPmn,HHD_medSBPmn,HSTK_medSBPmn,IHD_medSBPmn,ISTK_medSBPmn,KC_medSBPmn,LC_medSBPmn,LVC_medSBPmn,MLPC_medSBPmn,MMC_medSBPmn,OC_medSBPmn,OSTK_medSBPmn,OTH_medSBPmn,PC_medSBPmn,PVD_medSBPmn,RHD_medSBPmn,SCC_medSBPmn,SCNC_medSBPmn,TC_medSBPmn,UC_medSBPmn,AAse,AFFse,APCAse,BCse,CCse,CMse,DIABse,ECAse,ENDOse,GCse,HHDse,HSTKse,IHDse,ISTKse,KCse,LCse,LVCse,MLPCse,MMCse,OCse,OSTKse,OTHse,PCse,PVDse,RHDse,SCCse,SCNCse,TCse,UCse,AA_medBMIse,AFF_medBMIse,APCA_medBMIse,BC_medBMIse,CC_medBMIse,CM_medBMIse,DIAB_medBMIse,ECA_medBMIse,ENDO_medBMIse,GC_medBMIse,HHD_medBMIse,HSTK_medBMIse,IHD_medBMIse,ISTK_medBMIse,KC_medBMIse,LC_medBMIse,LVC_medBMIse,MLPC_medBMIse,MMC_medBMIse,OC_medBMIse,OSTK_medBMIse,OTH_medBMIse,PC_medBMIse,PVD_medBMIse,RHD_medBMIse,SCC_medBMIse,SCNC_medBMIse,TC_medBMIse,UC_medBMIse,AA_medSBPse,AFF_medSBPse,APCA_medSBPse,BC_medSBPse,CC_medSBPse,CM_medSBPse,DIAB_medSBPse,ECA_medSBPse,ENDO_medSBPse,GC_medSBPse,HHD_medSBPse,HSTK_medSBPse,IHD_medSBPse,ISTK_medSBPse,KC_medSBPse,LC_medSBPse,LVC_medSBPse,MLPC_medSBPse,MMC_medSBPse,OC_medSBPse,OSTK_medSBPse,OTH_medSBPse,PC_medSBPse,PVD_medSBPse,RHD_medSBPse,SCC_medSBPse,SCNC_medSBPse,TC_medSBPse,UC_medSBPse
1,added_sugar,3087,15.001744700226672,1.2162104836133385,1.5001744700226671,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,61.78288043497624,3.4777414947796244,0,0,110.69444444444444,0.7394841788823462,27.508815337710484,4.8384783160427824,0.03268397543089456,0.01634653513604877,1,1,1,20-34,1,NHW,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,added_sugar,3087,15.001744700226672,1.2162104836133385,1.5001744700226671,Foods defined as added sugars,tsp/day,Total,Vegetarian,7.14,0,0.714,tsp/day,NA,NA,tsp eq,61.78288043497624,3.4777414947796244,0,0,110.69444444444444,0.7394841788823462,27.508815337710484,4.8384783160427824,0.03268397543089456,0.01634653513604877,1,1,1,20-34,1,NHW,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,added_sugar,3087,15.001744700226672,1.2162104836133385,1.5001744700226671,Foods defined as added sugars,tsp/day,Total,Med,7.14,0,0.714,tsp/day,NA,NA,tsp eq,61.78288043497624,3.4777414947796244,0,0,110.69444444444444,0.7394841788823462,27.508815337710484,4.8384783160427824,0.03268397543089456,0.01634653513604877,1,1,1,20-34,1,NHW,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,added_sugar,2077,17.221404458106452,1.1149100568542978,1.7221404458106453,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,67.09394899064893,3.5244369815910925,1,0,113.3900709219858,1.0005849771998838,35.639047730155255,4.795451286638788,0.04168212915496894,0.00912649334198034,1,1,2,20-34,1,NHB,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,added_sugar,2077,17.221404458106452,1.1149100568542978,1.7221404458106453,Foods defined as added sugars,tsp/day,Total,Vegetarian,7.14,0,0.714,tsp/day,NA,NA,tsp eq,67.09394899064893,3.5244369815910925,1,0,113.3900709219858,1.0005849771998838,35.639047730155255,4.795451286638788,0.04168212915496894,0.00912649334198034,1,1,2,20-34,1,NHB,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,added_sugar,2077,17.221404458106452,1.1149100568542978,1.7221404458106453,Foods defined as added sugars,tsp/day,Total,Med,7.14,0,0.714,tsp/day,NA,NA,tsp eq,67.09394899064893,3.5244369815910925,1,0,113.3900709219858,1.0005849771998838,35.639047730155255,4.795451286638788,0.04168212915496894,0.00912649334198034,1,1,2,20-34,1,NHB,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,added_sugar,2345,14.44844808554043,0.9947379059034503,1.444844808554043,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,74.7621435719069,2.552654517365829,0,0,107.77857142857142,0.8955730305425254,22.040990167657785,4.126795896885441,0.01776690817618686,0.0030458231151924,1,1,3,20-34,1,HIS,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,added_sugar,2345,14.44844808554043,0.9947379059034503,1.444844808554043,Foods defined as added sugars,tsp/day,Total,Vegetarian,7.14,0,0.714,tsp/day,NA,NA,tsp eq,74.7621435719069,2.552654517365829,0,0,107.77857142857142,0.8955730305425254,22.040990167657785,4.126795896885441,0.01776690817618686,0.0030458231151924,1,1,3,20-34,1,HIS,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,added_sugar,2345,14.44844808554043,0.9947379059034503,1.444844808554043,Foods defined as added sugars,tsp/day,Total,Med,7.14,0,0.714,tsp/day,NA,NA,tsp eq,74.7621435719069,2.552654517365829,0,0,107.77857142857142,0.8955730305425254,22.040990167657785,4.126795896885441,0.01776690817618686,0.0030458231151924,1,1,3,20-34,1,HIS,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,added_sugar,2144,14.065053216316992,1.5469463879099377,1.4065053216316992,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,53.12628365221932,3.455634316441633,0,0,109.35772357723576,0.80930227413488,25.415768606393524,5.789934238101822,0.00995332979764138,0.00417582811606903,1,1,4,20-34,1,OTH,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,added_sugar,2144,14.065053216316992,1.5469463879099377,1.4065053216316992,Foods defined as added sugars,tsp/day,Total,Vegetarian,7.14,0,0.714,tsp/day,NA,NA,tsp eq,53.12628365221932,3.455634316441633,0,0,109.35772357723576,0.80930227413488,25.415768606393524,5.789934238101822,0.00995332979764138,0.00417582811606903,1,1,4,20-34,1,OTH,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,added_sugar,2144,14.065053216316992,1.5469463879099377,1.4065053216316992,Foods defined as added sugars,tsp/day,Total,Med,7.14,0,0.714,tsp/day,NA,NA,tsp eq,53.12628365221932,3.455634316441633,0,0,109.35772357723576,0.80930227413488,25.415768606393524,5.789934238101822,0.00995332979764138,0.00417582811606903,1,1,4,20-34,1,OTH,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,added_sugar,2694,12.09662581868966,0.9306426527989944,1.209662581868966,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,62.49047524940791,3.1717558712252583,0,0,119.2300194931774,0.8919592935430547,62.38968210632253,3.612283066777848,0.08077305815053952,0.02695147155352266,1,0,1,20-34,2,NHW,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,added_sugar,2694,12.09662581868966,0.9306426527989944,1.209662581868966,Foods defined as added sugars,tsp/day,Total,Vegetarian,7.14,0,0.714,tsp/day,NA,NA,tsp eq,62.49047524940791,3.1717558712252583,0,0,119.2300194931774,0.8919592935430547,62.38968210632253,3.612283066777848,0.08077305815053952,0.02695147155352266,1,0,1,20-34,2,NHW,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,added_sugar,2694,12.09662581868966,0.9306426527989944,1.209662581868966,Foods defined as added sugars,tsp/day,Total,Med,7.14,0,0.714,tsp/day,NA,NA,tsp eq,62.49047524940791,3.1717558712252583,0,0,119.2300194931774,0.8919592935430547,62.38968210632253,3.612283066777848,0.08077305815053952,0.02695147155352266,1,0,1,20-34,2,NHW,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,added_sugar,1802,16.06347915332603,1.5661303659561023,1.6063479153326028,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,65.83104252107715,3.5046305733339405,1,0,120.6060606060606,1.2246573954169273,63.411450443437815,4.084083781615028,0.10308519856053684,0.02413814133426566,1,0,2,20-34,2,NHB,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,added_sugar,1802,16.06347915332603,1.5661303659561023,1.6063479153326028,Foods defined as added sugars,tsp/day,Total,Vegetarian,7.14,0,0.714,tsp/day,NA,NA,tsp eq,65.83104252107715,3.5046305733339405,1,0,120.6060606060606,1.2246573954169273,63.411450443437815,4.084083781615028,0.10308519856053684,0.02413814133426566,1,0,2,20-34,2,NHB,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,added_sugar,1802,16.06347915332603,1.5661303659561023,1.6063479153326028,Foods defined as added sugars,tsp/day,Total,Med,7.14,0,0.714,tsp/day,NA,NA,tsp eq,65.83104252107715,3.5046305733339405,1,0,120.6060606060606,1.2246573954169273,63.411450443437815,4.084083781615028,0.10308519856053684,0.02413814133426566,1,0,2,20-34,2,NHB,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,added_sugar,2018,9.370091953777084,1.8826853497262197,0.9370091953777082,Foods defined as added sugars,tsp/day,Total,US,7.14,0,0.714,tsp/day,NA,NA,tsp eq,84.80099848381069,3.009331085527512,0,0,118.91851851851852,0.9541511184381326,63.33455522902117,4.294738891947933,0.11655677865796592,0.02873812499819555,1,0,3,20-34,2,HIS,20,3,3,0,253,65,59,11,13,0,58,47,124,11,101,46,23,64,13,0,9,31,23,2,9,16,41,237,0,20,3,3,0,253,65,59,11,13,0,58,47,124,11,101,46,23,64,13,0,9,31,23,2,9,16,41,237,0,20,3,3,0,253,65,59,11,13,0,58,47,124,11,101,46,23,64,13,0,9,31,23,2,9,16,41,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
