food_group,var_label,diet_pattern,CF_mean_intake,CF_se_intake,CF_sd_intake,intake_units
veg_dg,Dark-Green Vegetables,US,0.21,0,0.021,cup eq/day
veg_ro,Red and Orange Vegetables,US,0.79,0,0.079,cup eq/day
veg_sta,Starchy Vegetables,US,0.71,0,0.071,cup eq/day
veg_oth,Other Vegetables,US,0.57,0,0.057,cup eq/day
veg_exc_sta,Vegetables Excl. Starchy,US,1.57,0,0.157,cup eq/day
fruit_exc_juice,Whole Fruits,US,1.51,0,0.151,cup eq/day
fruit_juice,Fruit Juice,US,0.49,0,0.049,cup eq/day
gr_whole,Whole Grains,US,3,0,0.3,ounce eq/day
gr_refined,Refined Grains,US,3,0,0.3,ounce eq/day
dairy,Dairy,US,3,0,0.3,cup eq/day
dairy_alt,Dairy Alternatives (fortified soy milk and soy yogurt),US,0,0,0,cup eq/day
pf_redm,Red Meat,US,1.25,0,0.125,ounce eq/day
pf_pm,Processed Meat,US,0.72,0,0.072,ounce eq/day
pf_poultry,Poultry,US,1.26,0,0.126,ounce eq/day
pf_egg,Eggs,US,0.47,0,0.047,ounce eq/day
pf_seafood,Seafood,US,1.14,0,0.114,ounce eq/day
pf_ns,"Nuts, Seeds",US,0.63,0,0.063,ounce eq/day
pf_soy,Soy Products,US,0.08,0,0.008,ounce eq/day
pf_leg,"Beans, Peas, Lentils",US,0.21,0,0.021,cup eq/day
let_tot,"Beans, Peas, Lentils (TOTAL)",US,0.92,0,0.092,ounce eq/day
oil,Oils,US,27,0,2.7,grams/day
added_sugar,Added Sugars,US,30,0,3,grams/day
sat_fat,Satuated Fat,US,13.33,0,1.333,grams/day
ssb,Sugar Sweetened Beverages,US,1.09,0,0.109,cup eq/day
veg_dg,Dark-Green Vegetables,Med,0.21,0,0.021,cup eq/day
veg_ro,Red and Orange Vegetables,Med,0.79,0,0.079,cup eq/day
veg_sta,Starchy Vegetables,Med,0.71,0,0.071,cup eq/day
veg_oth,Other Vegetables,Med,0.57,0,0.057,cup eq/day
veg_exc_sta,Vegetables Excl. Starchy,Med,1.57,0,0.157,cup eq/day
fruit_exc_juice,Whole Fruits,Med,1.88,0,0.188,cup eq/day
fruit_juice,Fruit Juice,Med,0.62,0,0.062,cup eq/day
gr_whole,Whole Grains,Med,3,0,0.3,ounce eq/day
gr_refined,Refined Grains,Med,3,0,0.3,ounce eq/day
dairy,Dairy,Med,2,0,0.2,cup eq/day
dairy_alt,Dairy Alternatives (fortified soy milk and soy yogurt),Med,0,0,0,cup eq/day
pf_redm,Red Meat,Med,1.25,0,0.125,ounce eq/day
pf_pm,Processed Meat,Med,0.72,0,0.072,ounce eq/day
pf_poultry,Poultry,Med,1.26,0,0.126,ounce eq/day
pf_egg,Eggs,Med,0.47,0,0.047,ounce eq/day
pf_seafood,Seafood,Med,2.14,0,0.214,ounce eq/day
pf_ns,"Nuts, Seeds",Med,0.63,0,0.063,ounce eq/day
pf_soy,Soy Products,Med,0.08,0,0.008,ounce eq/day
pf_leg,"Beans, Peas, Lentils",Med,0.21,0,0.021,cup eq/day
let_tot,"Beans, Peas, Lentils (TOTAL)",Med,0.92,0,0.092,ounce eq/day
oil,Oils,Med,27,0,2.7,grams/day
added_sugar,Added Sugars,Med,30,0,3,grams/day
sat_fat,Satuated Fat,Med,13.33,0,1.333,grams/day
ssb,Sugar Sweetened Beverages,Med,1.09,0,0.109,cup eq/day
