Risk_factor,TMRED,SD,Unit
added_sugar,NA,NA,tsp eq
dairy,2.92,0.292,cup eq
fruit_exc_juice,1.64,0.164,cup eq
fruit_juice,NA,NA,cup eq
gr_refined,NA,NA,oz eq
gr_whole,2.45,0.245,oz eq
oil,NA,NA,g
pf_egg,NA,NA,oz eq
pf_leg,NA,NA,oz eq
pf_ns,1.37,0.137,oz eq
pf_pm,0.0645,0.00645,oz eq
pf_poultry,NA,NA,oz eq
pf_redm,0.726,0.0726,oz eq
pf_seafood,1.1,0.11,oz eq
pf_soy,NA,NA,oz eq
sat_fat,NA,NA,g
veg_dg,NA,NA,cup eq
veg_leg,NA,NA,cup eq
veg_oth,NA,NA,cup eq
veg_ro,NA,NA,cup eq
veg_sta,NA,NA,cup eq
veg_exc_sta,2.59,0.259,cup eq
leg_tot,1.62,0.162,oz eq
ssb,0.0104,0.00104,cup (8 fl oz)
sea_omega3_fa,250,25,mg
sodium,2000,200,mg
fiber,23.5,2.35,g
pufa_rep_carb,11,1.1,%E
pufa_rep_sfa,11,1.1,%E
pufa_rep_carbsfa,11,1.1,%E
