subgroup,Age,Sex,Race,outcome,risk_factor,logRR,logRR_se,RR_unit,DGA_unit,Conversion_to_grams,Equation
1,1,1,1,CC,dairy,-0.139262067,0.02065537295918367,400g/d,1 cup eq,149,1 cup eq = 149 g
1,1,1,1,CC,gr_whole,-0.186329578,0.03365498545918367,90g/d,1 oz eq,51,1 oz eq = 51 g
1,1,1,1,CC,pf_pm,0.1482,0.03932142857142857,50g/d,1 oz eq,31,1 oz eq = 31 g
1,1,1,1,CC,pf_redm,0.1133,0.05691326530612245,100g/d,1 oz eq,31,1 oz eq = 31 g
1,1,1,1,CC,fiber,-0.105360516,0.022690685204081632,10g/d,1 g,1,1 g = 1 g
1,1,1,1,DIAB,gr_whole,-0.189628330840186,0.042858542814788,50 g/d,1 oz eq,51,1 oz eq = 51 g
1,1,1,1,DIAB,pf_ns,-0.0454265617276395,0.012094613719527,1 oz/wk,1 oz eq,15,1 oz eq = 15 g
1,1,1,1,DIAB,pf_pm,0.612633703873665,0.137853763801128,50 g/d,1 oz eq,31,1 oz eq = 31 g
1,1,1,1,DIAB,pf_redm,0.256681387599897,0.106681205880101,100 g/d,1 oz eq,31,1 oz eq = 31 g
1,1,1,1,DIAB,ssb,0.292493553994423,0.0900155215801825,8 oz/d,1 cup (8 fl oz),240,1 cup (8 fl oz) = 240 g
1,1,1,1,HSTK,fruit,-0.46634830110801,0.131250128214607,100 g/d,1 cup eq,182,1 cup eq = 182 g
1,1,1,1,HSTK,pf_redm,0.139761942,0.01104510331632653,300 g/wk,1 oz eq,31,1 oz eq = 31 g
1,1,1,1,HSTK,pf_seafood,-0.061875404,0.03261055408163265,300 g/wk,1 oz eq,29,1 oz eq = 29 g
1,1,1,1,HSTK,veg_exc_sta,-0.274254469369838,0.111300351211622,100 g/d,1 cup eq,142,1 cup eq = 142 g
1,1,1,1,HSTK,leg_tot,-0.266443658274335,0.10891561862242,100 g/d,1 oz eq,44,1 oz eq = 44 g
1,1,1,1,HSTK,fruit_exc_juice,-0.46634830110801,0.131250128214607,100 g/d,1 cup eq,152,1 cup eq = 152 g
1,1,1,1,IHD,fruit,-0.093566754668598,0.0280632717301771,100 g/d,1 cup eq,182,1 cup eq = 182 g
